[0.062s] Invoking command in '/home/zyme/ros_ws/Autoware_sim_test/build/tier4_debug_msgs': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/zyme/ros_ws/Autoware_sim_test/build/tier4_debug_msgs -- -j12 -l12
[0.122s] [  0%] Built target tier4_debug_msgs__cpp
[0.126s] [ 12%] Built target tier4_debug_msgs__rosidl_generator_c
[0.134s] [ 12%] Built target ament_cmake_python_symlink_tier4_debug_msgs
[0.168s] [ 24%] Built target tier4_debug_msgs__rosidl_typesupport_c
[0.173s] [ 48%] Built target tier4_debug_msgs__rosidl_typesupport_cpp
[0.174s] [ 48%] Built target tier4_debug_msgs__rosidl_typesupport_introspection_c
[0.174s] [ 59%] Built target tier4_debug_msgs__rosidl_typesupport_fastrtps_cpp
[0.177s] [ 71%] Built target tier4_debug_msgs__rosidl_typesupport_introspection_cpp
[0.181s] [ 83%] Built target tier4_debug_msgs__rosidl_typesupport_fastrtps_c
[0.206s] [ 83%] Built target tier4_debug_msgs
[0.229s] [ 84%] Built target tier4_debug_msgs__py
[0.262s] [ 95%] Built target tier4_debug_msgs__rosidl_generator_py
[0.293s] [ 99%] Built target tier4_debug_msgs__rosidl_typesupport_fastrtps_c__pyext
[0.293s] [ 99%] Built target tier4_debug_msgs__rosidl_typesupport_introspection_c__pyext
[0.294s] [100%] Built target tier4_debug_msgs__rosidl_typesupport_c__pyext
[0.493s] running egg_info
[0.494s] writing tier4_debug_msgs.egg-info/PKG-INFO
[0.494s] writing dependency_links to tier4_debug_msgs.egg-info/dependency_links.txt
[0.494s] writing top-level names to tier4_debug_msgs.egg-info/top_level.txt
[0.497s] reading manifest file 'tier4_debug_msgs.egg-info/SOURCES.txt'
[0.498s] writing manifest file 'tier4_debug_msgs.egg-info/SOURCES.txt'
[0.526s] [100%] Built target ament_cmake_python_build_tier4_debug_msgs_egg
[0.539s] Invoked command in '/home/zyme/ros_ws/Autoware_sim_test/build/tier4_debug_msgs' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/zyme/ros_ws/Autoware_sim_test/build/tier4_debug_msgs -- -j12 -l12
[0.824s] Invoking command in '/home/zyme/ros_ws/Autoware_sim_test/build/tier4_debug_msgs': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/zyme/ros_ws/Autoware_sim_test/build/tier4_debug_msgs
[0.832s] -- Install configuration: "Release"
[0.833s] -- Execute custom install script
[0.833s] -- Up-to-date symlink: /home/zyme/ros_ws/Autoware_sim_test/install/tier4_debug_msgs/share/ament_index/resource_index/rosidl_interfaces/tier4_debug_msgs
[0.834s] -- Up-to-date symlink: /home/zyme/ros_ws/Autoware_sim_test/install/tier4_debug_msgs/include/tier4_debug_msgs/tier4_debug_msgs/msg/bool_stamped.h
[0.834s] -- Up-to-date symlink: /home/zyme/ros_ws/Autoware_sim_test/install/tier4_debug_msgs/include/tier4_debug_msgs/tier4_debug_msgs/msg/detail/bool_stamped__functions.h
[0.834s] -- Up-to-date symlink: /home/zyme/ros_ws/Autoware_sim_test/install/tier4_debug_msgs/include/tier4_debug_msgs/tier4_debug_msgs/msg/detail/bool_stamped__struct.h
[0.834s] -- Up-to-date symlink: /home/zyme/ros_ws/Autoware_sim_test/install/tier4_debug_msgs/include/tier4_debug_msgs/tier4_debug_msgs/msg/detail/bool_stamped__type_support.h
